# THE data for coniferous forest
PM-0.5		PM-1		PM-2	
DASI	QF	DASI	QF	DASI	QF
142.6541833		234.483411	0	384.1540329	0
124.7699997	0.387513333	219.1946212	0	356.3842459	0
124.1179533	3.86466	217.455921	0.628	349.9947009	0
143.3138074		236.6040755	5.756666667	367.8857437	2.806853333
147.9366742		239.429221	4.7728	398.8422251	4.38309
168.8135096		271.0381199	24.50246667		33.51466667
138.7472339	0.932126667	238.7895452	0	398.3011754	0
185.2376208		282.4285324	26.05153333	435.1042878	5.833646667
264.6959167	98.47551667	360.4850365	85.5964	551.6264082	56.99064333
144.6891301	7.221363333	239.4827888	2.459666667	415.2822001	0
182.9551758	27.16259	277.5103831	17.1444	454.0978945	5.425186667
144.7677036	0.727896667	244.980976	0	426.3949211	0
197.4359453	42.85164333	295.9699786	28.42746667	462.6184569	8.535766667
186.4393828	18.89389333	293.0316658	7.933733333		0
174.470066	35.78738	270.775552	24.07333333	437.1254956	18.80487
131.8393745	0.303726667	229.740897	0	407.1525821	0
162.1272658	21.85784667	259.2382953	9.493266667	425.5517996	7.03808
210.388828	63.45792667	307.8610396	54.008	483.6925162	37.35838
167.6303172	35.61980667	261.3401795	17.06066667	424.0043195	4.8701
149.5724238	9.556916667	245.9391607	5.044933333	410.8589917	0.853576667
170.6043204	13.42681333	269.9863605	13.07286667	464.4070337	6.744826667
196.66469	67.00838667		57.8702	470.0040536	33.99644
178.525272	39.04458667	278.267207	28.74146667	478.1650629	14.35370333
141.3525437	0	244.1598979	0	449.6253049	0
135.4653013	0.29849	240.0845424	0	422.5934938	0
177.9134052	41.20209333	274.2157639	26.4388	433.8785681	19.93599
135.9974737	0	227.9519882	0	403.2487399	0
131.6063525	0	228.4683291	0	391.5846895	0
158.0400534	13.47918	253.3291453	9.8282	404.3162431	0.429406667
149.8311257	1.46103	257.1443156	0	447.3339815	0.54985
139.8197935	0	247.198503	0	425.7771043	0
137.49981	2.8278	232.8050968	0	385.0643081	0
163.7881624	18.34928	262.356991	0	424.6956242	6.310183333
166.4666125	33.62987333	262.4152018	0	416.4182074	9.389343333
141.0761731	1.717626667	235.6776788	0	408.39665	0
263.5638496	93.85677667	362.65354	87.68973333	527.7171313	85.44348667
167.8638227	36.25868	260.5949255	24.54433333	411.563188	14.09710667
130.672531	0	222.3498707	0	384.8104936	0
175.2564263	31.93319333	268.9071807	19.0284	421.9686683	2.225583333
144.6702226	0	245.4207284	0	456.3647693	0
142.0723659	1.031623333	240.0278418	0	422.8045077	0
138.5227645	0.51843	232.2172807	0	402.3860876	0
136.0513047	0.240886667	232.1375578	0	393.9541857	0
155.8428634	14.98210333	251.609439	9.503733333	406.1668694	0
136.9677469	0	229.6456989	0	404.8478318	0
231.7483341	87.85032	327.322542	58.80173333	483.7612763	51.36122667
199.058812	26.83791667	300.1486103	25.76893333	494.2343126	26.87457333
154.2892273	0.23565	246.5690068	3.966866667	410.1873712	0.822156667
185.4547586	22.78997333	275.7582317	19.7192	457.9201301	10.01774333
149.2840248	0.40846	247.450422	0	454.1117471	0
146.83817	0.748843333	245.1458357	0	435.9236229	0
168.1948735	8.70334	265.8323634	1.842133333	447.2144974	0
168.3070021	2.16798	267.5696143	0.701266667	449.6933296	0
147.1262278	0.48701	247.661101	0	423.4286835	0
140.0246366	0	241.0779501	0	395.8558418	0
161.5621782	9.321266667	263.2529825	0	412.6365932	0
184.4010665	27.90619667		5.924133333	443.8611507	0
142.7733747	2.728303333	250.1958248	0	415.3355774	0
139.2424776	2.05801	233.3951286	0	388.2779385	0
133.382748		234.4249239	0	380.1918586	0
